climaticZone,planetSection,temperatureSecondHalfPlanetRotation,temperatureFirstHalfPlanetRotation,mineralDensity,geoZone,longitude,rockSize,waterStreamDistanceY,cover,magmaConcentrationDistance,waterStreamDistanceX,detectionDepth,mineralType,id
4,Tatoooine,28.9,-999.0,4617.64,7,71.86,3,16.76,4,VERY_CLOSE,857.7,27.49,5,0
7,Tatoooine,36.8,103.0,9859.22,1,360.78,0,12.13,0,VERY_CLOSE,103.28,27.3,1,1
8,Mordor,33.0,111.9,-999.0,7,37.66,1,1.9,3,CLOSE,102.74,32.25,7,2
2,Hyrule,25.5,108.4,-999.0,7,134.36,3,11.89,4,CLOSE,135.4,22.35,4,3
2,Hyrule,29.5,111.6,3991.21,7,109.15,1,0.0,1,VERY_CLOSE,0.0,23.19,4,4
4,Hyrule,26.4,97.3,8282.68,7,83.79,3,0.0,4,VERY_CLOSE,0.0,23.87,4,5
7,Mordor,29.1,105.8,4382.3,2,111.18,0,0.96,0,CLOSE,94.34,27.94,5,6
7,Tatoooine,25.5,106.1,6553.97,7,128.5,1,66.41,3,CLOSE,706.59,29.03,5,7
7,Mordor,26.4,102.1,5800.09,7,107.16,1,66.52,3,CLOSE,1133.31,28.58,5,8
7,Mordor,14.9,92.2,14280.78,7,113.52,1,-18.79,3,CLOSE,287.27,28.37,5,9
7,Mordor,18.8,97.4,10967.75,7,148.11,1,44.26,3,VERY_CLOSE,436.79,28.07,5,10
4,Tatoooine,30.0,106.3,4882.56,7,194.92,3,80.77,4,CLOSE,1461.6,28.8,5,11
4,Hyrule,36.3,98.4,9324.58,7,8.89,3,16.12,4,VERY_CLOSE,266.91,22.5,6,12
7,Mordor,27.1,105.7,4489.93,2,153.4,0,-2.01,0,CLOSE,98.65,32.32,1,13
6,Tatoooine,27.8,98.4,7612.14,1,70.12,0,9.9,0,CLOSE,267.14,29.25,5,14
7,Mordor,32.5,110.6,5302.67,2,45.82,2,2.86,3,VERY_CLOSE,483.96,30.57,1,15
7,Tatoooine,28.0,98.1,10023.36,7,52.05,1,-20.54,3,CLOSE,1151.29,28.93,1,16
2,Hyrule,27.0,103.4,-999.0,7,187.08,1,119.42,1,VERY_CLOSE,2049.55,24.76,3,17
