mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__weights,param_model__n_neighbors,param_model__metric,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,split7_train_precision_macro,split8_train_precision_macro,split9_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
0.05464382171630859,0.0025796946399472506,0.1997657299041748,0.06218095141108342,uniform,15,euclidean,"{'model__weights': 'uniform', 'model__n_neighbors': 15, 'model__metric': 'euclidean'}",0.6893819334389857,0.7012678288431062,0.7020602218700476,0.7321711568938193,0.6949286846275753,0.7076069730586371,0.7179080824088748,0.705229793977813,0.7091917591125199,0.7242472266244057,0.7083993660855785,0.0124584748063604,9,0.7545342489874978,0.7538298996302166,0.7497798908258496,0.7495157598168691,0.751716851558373,0.7504842401831309,0.7503081528438106,0.7513646768797323,0.7496918471561894,0.7500440218348301,0.7511269589716499,0.0016747053923183036,0.6862284742771898,0.698757217576978,0.6970755132871833,0.7284584366346714,0.6906871308421892,0.7029659870750395,0.7112109260453882,0.698034933422078,0.7078346807942244,0.72206271631319,0.7043316016268132,0.012630223970968435,9,0.7523352995133543,0.7517272741024847,0.7471803207444297,0.7468022367478296,0.7489590918200769,0.7477962096815854,0.7476466748070946,0.7487677689507148,0.74639154561652,0.747350710742768,0.7484957132726857,0.001924083834420187
0.06008899211883545,0.004986840488489201,0.15854389667510987,0.009370597172005037,uniform,20,euclidean,"{'model__weights': 'uniform', 'model__n_neighbors': 20, 'model__metric': 'euclidean'}",0.6870047543581617,0.6949286846275753,0.7044374009508716,0.7187004754358162,0.6838351822503962,0.696513470681458,0.7147385103011094,0.7036450079239303,0.7091917591125199,0.7107765451664025,0.7023771790808242,0.011009416439276332,10,0.7402711745025533,0.7372776897341081,0.7410635675294946,0.7400950871632329,0.7392146504666315,0.7407113928508541,0.73842225743969,0.7415037858777954,0.7374537770734284,0.7404472618418736,0.7396460644479662,0.0014116945165566618,0.6830507213128676,0.6928483753390181,0.6992892915249319,0.7123615783091085,0.6799908615572221,0.6909600953070701,0.7082983969725107,0.6975314792888688,0.7066211782489313,0.7060157429225745,0.6976967720783105,0.010371887816355743,10,0.7372309391670713,0.7340304756290363,0.7386880777635866,0.7369099698706796,0.7362849247675074,0.737193847583053,0.7350155756019363,0.7386287486062224,0.7337717876374459,0.7379127932514022,0.736566713987794,0.0016806537546454087
0.05587620735168457,0.006308297073778852,0.4512267351150513,0.056208595975519395,distance,15,manhattan,"{'model__weights': 'distance', 'model__n_neighbors': 15, 'model__metric': 'manhattan'}",0.7131537242472267,0.731378763866878,0.7266244057052298,0.7385103011093502,0.7274167987321711,0.722662440570523,0.7480190174326465,0.7282091917591125,0.7393026941362916,0.7400950871632329,0.7315372424722663,0.009605947677142125,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.71019052499052,0.7302660667806171,0.7238906889942776,0.7370277603639713,0.7228990984825595,0.7196965209902114,0.744488298372647,0.72434233864381,0.7370662688863139,0.7388438108236823,0.7288711377328609,0.00996546756494539,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0672006368637085,0.036060265712010264,0.5051564693450927,0.08348801825580542,uniform,10,manhattan,"{'model__weights': 'uniform', 'model__n_neighbors': 10, 'model__metric': 'manhattan'}",0.7060221870047544,0.7242472266244057,0.7171156893819335,0.7297939778129953,0.7060221870047544,0.7194928684627575,0.7408874801901744,0.7131537242472267,0.7274167987321711,0.7290015847860539,0.7213153724247225,0.010560253709608298,6,0.7778658214474379,0.7745201620003521,0.7780419087867583,0.7763690790632154,0.7774256030991372,0.7756647297059341,0.7749603803486529,0.7768973410811763,0.7733755942947702,0.7730234196161296,0.7758144039443564,0.001714954184741733,0.7032253988663909,0.7210881182725907,0.7120367985124855,0.7248438645461327,0.7006593769440786,0.7148630897157566,0.736986115440555,0.7091794706062758,0.726987110183239,0.729271331414328,0.7179140674501833,0.011255098918721024,6,0.7756424236136479,0.7723023484366943,0.7761087651186341,0.7746804640680965,0.7754882454059239,0.7736767138403028,0.7731504053534766,0.7749214208697461,0.7712280988921447,0.7709186359179591,0.7738117521516626,0.0017664535509402995
0.04930624961853027,0.009678979216397402,0.42632231712341306,0.04362157347441288,distance,12,manhattan,"{'model__weights': 'distance', 'model__n_neighbors': 12, 'model__metric': 'manhattan'}",0.7258320126782885,0.7369255150554676,0.7297939778129953,0.7559429477020603,0.7297939778129953,0.7297939778129953,0.742472266244057,0.7345483359746434,0.7472266244057052,0.7385103011093502,0.7370839936608558,0.00884361738719728,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7234115979499023,0.7340009807023969,0.7267235783974276,0.7544226869579678,0.7240980273050509,0.7272605645069918,0.7378551632732859,0.7307075119725005,0.7445865688411952,0.7399109254167823,0.7342977605323501,0.009473364734425406,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.051387596130371097,0.01150122632293878,0.42674477100372316,0.03910760080736256,distance,10,manhattan,"{'model__weights': 'distance', 'model__n_neighbors': 10, 'model__metric': 'manhattan'}",0.7171156893819335,0.7416798732171157,0.7337559429477021,0.7448494453248812,0.7202852614896988,0.7297939778129953,0.7519809825673535,0.7329635499207607,0.7464342313787639,0.7377179080824089,0.7356576862123614,0.010644053635630426,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7125817118508523,0.7385819653156015,0.7307454620828479,0.7402326027991026,0.7156394481866052,0.7265212765638296,0.7488296169119874,0.730007208261467,0.744384958822813,0.7378001111970456,0.7325324361992152,0.011219744643338504,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.048479342460632326,0.005048704654275841,0.11941652297973633,0.006425957000841121,uniform,5,euclidean,"{'model__weights': 'uniform', 'model__n_neighbors': 5, 'model__metric': 'euclidean'}",0.6933438985736925,0.7242472266244057,0.7147385103011094,0.7266244057052298,0.7044374009508716,0.7107765451664025,0.722662440570523,0.7083993660855784,0.7258320126782885,0.7250396196513471,0.7156101426307447,0.010657317993627333,7,0.8094734988554323,0.8090332805071315,0.8088571931678112,0.8085930621588308,0.8112343722486354,0.8095615425250925,0.8089452368374714,0.8092093678464518,0.8082408874801902,0.8056876210600458,0.8088836062687091,0.0013106683509167996,0.689474319556675,0.7217031303262381,0.7121460378609499,0.7202108357108814,0.7019119391530547,0.7061131302817972,0.7170870023327157,0.703861773844768,0.7236230005414311,0.7225182476736298,0.7118649417282141,0.010691463699841761,7,0.8079441983919565,0.8074455223426965,0.8073244747838783,0.8071953691814205,0.8097299706175896,0.8080346381007022,0.8072952089435379,0.8077081688496409,0.8067231082244659,0.8040237245677785,0.8073424384003667,0.0013456435151724686
0.04676222801208496,0.002611259862764649,0.09936590194702148,0.006727813296807364,distance,15,euclidean,"{'model__weights': 'distance', 'model__n_neighbors': 15, 'model__metric': 'euclidean'}",0.7036450079239303,0.7179080824088748,0.7179080824088748,0.7353407290015848,0.6996830427892234,0.7179080824088748,0.7377179080824089,0.7274167987321711,0.7266244057052298,0.7361331220285261,0.7220285261489698,0.012492698684637938,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7003900815561964,0.7152860041123965,0.7154620820194351,0.7319849212463855,0.6948079170028523,0.7149917910714704,0.7332687981787291,0.7227675148072155,0.7252581036783224,0.7348594847656953,0.7189076698438698,0.01284898879794966,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.053472042083740234,0.02196382888511956,0.1176504373550415,0.00270066650310009,uniform,8,euclidean,"{'model__weights': 'uniform', 'model__n_neighbors': 8, 'model__metric': 'euclidean'}",0.6846275752773375,0.7004754358161648,0.7068145800316957,0.7179080824088748,0.7012678288431062,0.7131537242472267,0.7290015847860539,0.7155309033280507,0.7060221870047544,0.7171156893819335,0.7091917591125199,0.011597126070666073,8,0.7797147385103012,0.7789223454833597,0.7819158302518049,0.7793625638316605,0.7798027821799612,0.7814756119035041,0.7771614720901567,0.7790984328226801,0.7771614720901567,0.7758408170452544,0.779045606620884,0.0018070199099805774,0.6797930614165952,0.695961250999906,0.7031639023440935,0.7138813398225271,0.697028154534687,0.7094194609988598,0.7228185199059213,0.7104484458389517,0.7059525186065747,0.7165082869468732,0.705497494141499,0.011663954360162905,8,0.7780974136128717,0.7772116544243629,0.7795680422053205,0.7771938342597975,0.7778465335901618,0.7795384952864822,0.7751802868811428,0.7775331423772218,0.7751876278863138,0.7736356349850667,0.7770992665508742,0.001820516600877132
0.05383026599884033,0.013004980979958003,0.39763128757476807,0.022775283001963187,distance,5,manhattan,"{'model__weights': 'distance', 'model__n_neighbors': 5, 'model__metric': 'manhattan'}",0.7202852614896988,0.7448494453248812,0.7297939778129953,0.7393026941362916,0.7171156893819335,0.7274167987321711,0.7496038034865293,0.731378763866878,0.7337559429477021,0.742472266244057,0.7335974643423139,0.010003000848215218,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7166387616752818,0.7410303935252024,0.7249924540037244,0.7333188445828887,0.7126362057577272,0.7241938899187504,0.7451579268905686,0.7275285049805447,0.7309857549416867,0.7422268925587289,0.7298709628835103,0.01028429835160842,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
